iter	CrossEntropy
0	0.67172788
1	0.6520219762
2	0.6339822987
3	0.6164774081
4	0.6003681064
5	0.5847679774
6	0.5712149387
7	0.5581997797
8	0.5463237954
9	0.5352678886
10	0.5243587512
11	0.5148854029
12	0.505847916
13	0.4970100325
14	0.489239143
15	0.4820294304
16	0.4752148404
17	0.4686196508
18	0.4620264194
19	0.456313752
20	0.4508801422
21	0.4457355955
22	0.4411838572
23	0.4367070914
24	0.4326367975
25	0.428876341
26	0.4250264596
27	0.4220116786
28	0.4188202462
29	0.4155356279
30	0.4125394973
31	0.4098630068
32	0.4072513665
33	0.4047870907
34	0.4024365322
35	0.4002604016
36	0.3984192933
37	0.396306115
38	0.3944540564
39	0.3925008442
40	0.3905806594
41	0.3889706888
42	0.3876055569
43	0.3860650918
44	0.3845413861
45	0.3829588113
46	0.3815047217
47	0.3803573911
48	0.379136149
49	0.3778355889
50	0.3765110696
51	0.375363726
52	0.3743472582
53	0.3733940378
54	0.3723933625
55	0.3714991073
56	0.3706498744
57	0.3697534862
58	0.3689122522
59	0.3679941713
60	0.3672948784
61	0.3665729465
62	0.3658270544
63	0.3649608766
64	0.3641537647
65	0.3634044565
66	0.3626347246
67	0.3619147273
68	0.3611087493
69	0.3604908069
70	0.3598782879
71	0.3593133331
72	0.3586379659
73	0.3580400564
74	0.3574852368
75	0.3570653034
76	0.3564394948
77	0.3559233451
78	0.355480125
79	0.3549355271
80	0.3543573116
81	0.3538897913
82	0.3534063078
83	0.3528992237
84	0.3523858892
85	0.3519547892
86	0.3514888443
87	0.3509876423
88	0.3506044364
89	0.3501462571
90	0.3498053599
91	0.3493743886
92	0.3490525923
93	0.3486000935
94	0.3481766842
95	0.3476736244
96	0.3472153872
97	0.3468175542
98	0.3463951257
99	0.3459362109
100	0.3456490081
101	0.345281774
102	0.3449895226
103	0.3446317528
104	0.3442083452
105	0.3438084133
106	0.3435081064
107	0.3431786754
108	0.3428984958
109	0.342512605
110	0.3421052379
111	0.3417070463
112	0.3413820571
113	0.3410420489
114	0.340610613
115	0.3401783819
116	0.3398896102
117	0.3394850927
118	0.339085179
119	0.338669433
120	0.3383952038
121	0.3381694028
122	0.3378138383
123	0.3375470889
124	0.3373269638
125	0.3370163565
126	0.3367383152
127	0.3364804419
128	0.3362258555
129	0.3359960521
130	0.3357209649
131	0.3354182523
132	0.3350510692
133	0.3347879739
134	0.3344856218
135	0.3342277901
136	0.3339433675
137	0.333638836
138	0.3333673767
139	0.3331064657
140	0.3328466224
141	0.3326405583
142	0.3323841423
143	0.3321430854
144	0.3319146097
145	0.3317407688
146	0.3315148175
147	0.3312187483
148	0.3309365688
149	0.3306638999
150	0.330412523
151	0.3301672421
152	0.3299493426
153	0.329697728
154	0.3294221327
155	0.3292017508
156	0.3289065334
157	0.3286217711
158	0.3284155407
159	0.3281346092
160	0.327854148
161	0.3275987228
162	0.3272792817
163	0.327050511
164	0.3268030211
165	0.3265862912
166	0.3263308757
167	0.3261559671
168	0.3258170795
169	0.3255974604
170	0.3254104245
171	0.3252154379
172	0.3249659715
173	0.3246818461
174	0.3244678359
175	0.3242776469
176	0.3240016085
177	0.3238680589
178	0.3236589468
179	0.3234782396
180	0.323243884
181	0.3230406934
182	0.3228921372
183	0.3226473489
184	0.32235793
185	0.3222078412
186	0.3219955968
187	0.3217974865
188	0.3216629748
189	0.3213287426
190	0.3211422217
191	0.3210221036
192	0.3208231526
193	0.3206275481
194	0.3204281651
195	0.3202531297
196	0.3200814603
197	0.3197365275
198	0.3195499948
199	0.3193054751
200	0.3190666755
201	0.3189024619
202	0.3186549781
203	0.3184712078
204	0.318165624
205	0.3179458342
206	0.3176511524
207	0.3173255454
208	0.3170966162
209	0.3168742099
210	0.3166699289
211	0.316377083
212	0.3161626841
213	0.3159302513
214	0.3157875522
215	0.3156084871
216	0.3152697886
217	0.3151219224
218	0.3148721548
219	0.3146697774
220	0.3144288851
221	0.3142046784
222	0.3139488365
223	0.3137628616
224	0.3135491974
225	0.3133282646
226	0.3131174043
227	0.3129951696
228	0.3128591167
229	0.3127300823
230	0.3124101031
231	0.3121286136
232	0.3118538959
233	0.3116179126
234	0.3114305126
235	0.3112065834
236	0.3109918332
237	0.3108457271
238	0.3107030212
239	0.310462156
240	0.3103253673
241	0.3101150918
242	0.3098368104
243	0.3096079887
244	0.3094328444
245	0.3092134013
246	0.3090847494
247	0.3088966378
248	0.3086596229
249	0.3085060501
250	0.3082744855
251	0.3080927888
252	0.3079004653
253	0.3077605523
254	0.3075464649
255	0.3073438166
256	0.3072288772
257	0.3070362783
258	0.3069281449
259	0.3066896775
260	0.3065738184
261	0.3063619722
262	0.3062302822
263	0.3060481605
264	0.3058893002
265	0.3057090423
266	0.3054693463
267	0.3051938265
268	0.3050513067
269	0.304808438
270	0.3047132495
271	0.3044914059
272	0.3044732503
273	0.3043489281
274	0.3042053393
275	0.3040571295
276	0.3039514293
277	0.3037947556
278	0.3036982518
279	0.3035563783
280	0.30323549
281	0.3030653995
282	0.3027789108
283	0.3026389553
284	0.3025403552
285	0.3023961586
286	0.3022579424
287	0.3021187457
288	0.3020407018
289	0.3019293314
290	0.3018159031
291	0.3015945948
292	0.301472741
293	0.3012883611
294	0.3011350724
295	0.3009859442
296	0.3008679783
297	0.30072539
298	0.300526008
299	0.3003982829
300	0.3002792624
301	0.3001084649
302	0.2999621578
303	0.2998020205
304	0.2996802138
305	0.2994403407
306	0.2992974324
307	0.2990871792
308	0.2989991402
309	0.2987919766
310	0.2986238521
311	0.2985005214
312	0.2983524782
313	0.2981707289
314	0.2980479532
315	0.2978458636
316	0.2976859716
317	0.2975496471
318	0.2973538571
319	0.2971823812
320	0.2969938606
321	0.2968608745
322	0.2967469049
323	0.2965752605
324	0.2963883542
325	0.2960923578
326	0.2959263521
327	0.2957393725
328	0.2956223364
329	0.2954082149
330	0.2952555036
331	0.2950146987
332	0.2948347086
333	0.29462927
334	0.2944586344
335	0.2943074577
336	0.2940913867
337	0.2939889843
338	0.293857143
339	0.2935990477
340	0.2934667824
341	0.29324728
342	0.2931081205
343	0.2929628669
344	0.2928205349
345	0.2926375616
346	0.2924843359
347	0.2922517647
348	0.2921326569
349	0.2919877332
350	0.2918471969
351	0.2916813089
352	0.2914724785
353	0.2913054902
354	0.2910013408
355	0.2908352791
356	0.2906778432
357	0.2905400667
358	0.2903980443
359	0.2902556436
360	0.2900564819
361	0.2899358919
362	0.2897555585
363	0.2895900278
364	0.2893434889
365	0.2891381725
366	0.2888922869
367	0.2887763129
368	0.2886258335
369	0.2885089261
370	0.2883973031
371	0.2882032352
372	0.2879185961
373	0.2878021247
374	0.2876749695
375	0.2874463092
376	0.2872828379
377	0.2871604125
378	0.2869975026
379	0.2868379192
380	0.286608916
381	0.2864391073
382	0.2863076136
383	0.2862188533
384	0.286063704
385	0.2859168106
386	0.2858064674
387	0.2856489837
388	0.2855592894
389	0.2854267877
390	0.2853119201
391	0.2851834293
392	0.2850159621
393	0.2848742592
394	0.2848083229
395	0.2846493449
396	0.2844779343
397	0.2843514638
398	0.2842040071
399	0.2841265438
400	0.284035963
401	0.2838989226
402	0.2838164514
403	0.2837126219
404	0.2835811311
405	0.2834722898
406	0.2833513845
407	0.2832151526
408	0.2829918634
409	0.2828219095
410	0.2827201904
411	0.2824820584
412	0.2823243941
413	0.2821912302
414	0.2820708558
415	0.281928441
416	0.2817988857
417	0.2816470723
418	0.2815612044
419	0.2814192721
420	0.2812768878
421	0.2811504641
422	0.2810287659
423	0.2808943302
424	0.2807446773
425	0.2805661628
426	0.2804005621
427	0.2801763476
428	0.2800522155
429	0.2799706176
430	0.2798460931
431	0.2797194173
432	0.2795719548
433	0.2793745367
434	0.2792212558
435	0.2790969133
436	0.2789933407
437	0.2788315319
438	0.2786756773
439	0.2785611734
440	0.2784064443
441	0.2782260169
442	0.2780883491
443	0.2778872981
444	0.2776978095
445	0.2774791651
446	0.2772954867
447	0.2771503957
448	0.2769676
449	0.2768246407
450	0.2766285451
451	0.2764997572
452	0.2764002293
453	0.2762786272
454	0.276130783
455	0.2759670322
456	0.2757373815
457	0.2755977364
458	0.2754703391
459	0.2752746024
460	0.2750723916
461	0.2750161652
462	0.2748079605
463	0.2746961318
464	0.2744966795
465	0.2743932073
466	0.2742144874
467	0.2739589493
468	0.27373626
469	0.2735215007
470	0.2732948959
471	0.2731737526
472	0.2730669105
473	0.2729258753
474	0.2727337802
475	0.2726339
476	0.2725065269
477	0.2723759442
478	0.2722288642
479	0.2721510205
480	0.2720719639
481	0.2719557291
482	0.271842566
483	0.2716610777
484	0.2715163322
485	0.2713172462
486	0.2711717371
487	0.2710245259
488	0.2708173337
489	0.270674858
490	0.270487945
491	0.2702803567
492	0.2700807119
