iter	Passed	Remaining
0	69	138963
1	138	137999
2	208	138832
3	276	138064
4	347	138648
5	417	138808
6	487	138818
7	559	139258
8	630	139395
9	699	139294
10	773	139947
11	847	140366
12	916	140055
13	1000	141919
14	1072	141916
15	1140	141381
16	1209	141102
17	1282	141243
18	1353	141130
19	1422	140802
20	1493	140774
21	1564	140673
22	1634	140481
23	1703	140217
24	1768	139689
25	1835	139391
26	1904	139140
27	1980	139465
28	2048	139231
29	2116	139016
30	2185	138784
31	2252	138556
32	2320	138321
33	2405	139092
34	2474	138948
35	2540	138611
36	2607	138312
37	2675	138124
38	2740	137779
39	2808	137613
40	2876	137460
41	2949	137518
42	3023	137610
43	3089	137355
44	3160	137318
45	3228	137155
46	3294	136907
47	3365	136878
48	3439	136966
49	3508	136812
50	3582	136891
51	3651	136779
52	3716	136546
53	3785	136431
54	3856	136384
55	3932	136519
56	4003	136454
57	4073	136382
58	4141	136263
59	4209	136107
60	4278	136004
61	4346	135866
62	4415	135746
63	4519	136709
64	4589	136626
65	4657	136481
66	4730	136471
67	4797	136297
68	4867	136223
69	4947	136410
70	5017	136332
71	5084	136148
72	5151	135988
73	5222	135939
74	5300	136055
75	5372	135999
76	5442	135915
77	5514	135879
78	5589	135914
79	5672	136144
80	5744	136084
81	5821	136175
82	5896	136191
83	5976	136315
84	6046	136225
85	6115	136098
86	6184	135984
87	6257	135966
88	6333	135990
89	6410	136036
90	6476	135869
91	6551	135875
92	6636	136090
93	6709	136050
94	6779	135952
95	6852	135902
96	6924	135843
97	6995	135772
98	7068	135732
99	7137	135618
100	7205	135468
101	7296	135779
102	7376	135864
103	7455	135912
104	7537	136036
105	7622	136206
106	7692	136093
107	7763	135998
108	7836	135944
109	7925	136179
110	8014	136390
111	8105	136629
112	8184	136670
113	8263	136711
114	8341	136725
115	8412	136628
116	8483	136541
117	8555	136454
118	8641	136589
119	8728	136743
120	8810	136812
121	8891	136868
122	8975	136967
123	9048	136902
124	9129	136945
125	9211	137006
126	9286	136954
127	9355	136830
128	9428	136748
129	9512	136838
130	9596	136910
131	9681	137012
132	9758	136992
133	9826	136838
134	9911	136931
135	10000	137060
136	10075	137006
137	10150	136964
138	10231	136987
139	10313	137026
140	10390	136988
141	10460	136869
142	10529	136742
143	10621	136900
144	10702	136915
145	10782	136927
146	10854	136827
147	10942	136928
148	11024	136960
149	11101	136923
150	11171	136799
151	11240	136666
152	11322	136678
153	11406	136726
154	11483	136692
155	11558	136632
156	11644	136689
157	11725	136698
158	11810	136749
159	11881	136636
160	11962	136637
161	12038	136588
162	12113	136515
163	12181	136370
164	12251	136251
165	12317	136084
166	12387	135967
167	12455	135822
168	12527	135727
169	12599	135630
170	12667	135490
171	12741	135411
172	12811	135294
173	12883	135200
174	12964	135196
175	13044	135188
176	13124	135180
177	13211	135227
178	13287	135178
179	13368	135171
180	13455	135229
181	13538	135235
182	13620	135242
183	13692	135140
184	13774	135142
185	13854	135117
186	13942	135174
187	14014	135080
